data,extract3,extract2,extract1,extract
0101,(Total: 45, Open: 4, Waitlist: 0),4:00pm - 4:50pm,CSI  2117,CMSC100
0101,(Total: 50, Open: 0, Waitlist: 4),12:30pm - 1:45pm,CSI  1121,CMSC435
James Purtilo ,(Total: 50, Open: 0, Waitlist: 4),12:30pm - 1:45pm,CSI  1121,CMSC435
TuTh ,(Total: 50, Open: 0, Waitlist: 14),12:30pm - 1:45pm,CSI  1121,CMSC435
0101,(Total: 50, Open: 0, Waitlist: 14),9:30am - 10:45am,CSI  1121,CMSC436
Adam Porter ,(Total: 50, Open: 0, Waitlist: 14),9:30am - 10:45am,CSI  1121,CMSC436
TuTh ,(Total: 60, Open: 0, Waitlist: 11),9:30am - 10:45am,CSI  1121,CMSC436
0201,(Total: 60, Open: 0, Waitlist: 11),12:30pm - 1:45pm,CSI  2117,CMSC436
Atif Memon ,(Total: 60, Open: 0, Waitlist: 11),12:30pm - 1:45pm,CSI  2117,CMSC436
TuTh ,(Total: 40, Open: 0, Waitlist: 1),12:30pm - 1:45pm,CSI  2117,CMSC436
0101,(Total: 40, Open: 0, Waitlist: 1),12:30pm - 1:45pm,CSI  3120,CMSC451
Aravind Srinivasan,(Total: 40, Open: 0, Waitlist: 1),12:30pm - 1:45pm,CSI  3120,CMSC451
TuTh ,(Total: 32, Open: 11, Waitlist: 0),12:30pm - 1:45pm,CSI  3120,CMSC451
0101,(Total: 32, Open: 11, Waitlist: 0),2:00pm - 3:15pm,CSI  3118,CMSC452
William Gasarch ,(Total: 32, Open: 11, Waitlist: 0),2:00pm - 3:15pm,CSI  3118,CMSC452
TuTh ,(Total: 40, Open: 0, Waitlist: 3),2:00pm - 3:15pm,CSI  3118,CMSC452
0101,(Total: 40, Open: 0, Waitlist: 3),12:00pm - 12:50pm,CSI  1121,CMSC456
Jonathan Katz,(Total: 40, Open: 0, Waitlist: 3),12:00pm - 12:50pm,CSI  1121,CMSC456
MWF ,(Total: 33, Open: 0, Waitlist: 2),12:00pm - 12:50pm,CSI  1121,CMSC456
0101,(Total: 33, Open: 0, Waitlist: 2),12:30pm - 1:45pm,MTH  0304,CMSC460
Harland Glaz ,(Total: 33, Open: 0, Waitlist: 2),12:30pm - 1:45pm,MTH  0304,CMSC460
TuTh ,(Total: 25, Open: 2, Waitlist: 0),12:30pm - 1:45pm,MTH  0304,CMSC460
0201,(Total: 25, Open: 2, Waitlist: 0),2:00pm - 3:15pm,MTH  0409,CMSC460
Changhui Tan,(Total: 25, Open: 2, Waitlist: 0),2:00pm - 3:15pm,MTH  0409,CMSC460
TuTh ,(Total: 25, Open: 11, Waitlist: 0),2:00pm - 3:15pm,MTH  0409,CMSC460
0101,(Total: 25, Open: 11, Waitlist: 0),11:00am - 11:50am,MTH  1311,CMSC466
Maria Cameron,(Total: 25, Open: 11, Waitlist: 0),11:00am - 11:50am,MTH  1311,CMSC466
MWF ,(Total: 40, Open: 9, Waitlist: 0),11:00am - 11:50am,MTH  1311,CMSC466
0101,(Total: 40, Open: 9, Waitlist: 0),3:30pm - 4:45pm,CSI  2120,CMSC474
Dana Nau ,(Total: 40, Open: 9, Waitlist: 0),3:30pm - 4:45pm,CSI  2120,CMSC474
TuTh ,(Total: 10, Open: 7, Waitlist: 0),3:30pm - 4:45pm,CSI  2120,CMSC474
0101,(Total: 10, Open: 7, Waitlist: 0),11:00am - 12:15pm,ITV  1100,CMSC498
Uzi Vishkin ,(Total: 10, Open: 7, Waitlist: 0),11:00am - 12:15pm,ITV  1100,CMSC498
MW ,(Total: 40, Open: 8, Waitlist: 0),11:00am - 12:15pm,ITV  1100,CMSC498
0101,(Total: 40, Open: 8, Waitlist: 0),11:00am - 12:15pm,CSI  2107,CMSC498
Amol Deshpande,(Total: 40, Open: 8, Waitlist: 0),11:00am - 12:15pm,CSI  2107,CMSC498
TuTh ,(Total: 10, Open: 0, Waitlist: 4),11:00am - 12:15pm,CSI  2107,CMSC498
0101,(Total: 10, Open: 0, Waitlist: 4),6:00pm - 8:45pm,HBK  0123,CMSC498
Marshini Chetty ,(Total: 10, Open: 0, Waitlist: 4),6:00pm - 8:45pm,HBK  0123,CMSC498
Th ,(Total: 20, Open: 3, Waitlist: 0),6:00pm - 8:45pm,HBK  0123,CMSC498
0101,(Total: 20, Open: 3, Waitlist: 0),3:30pm - 4:45pm,CSI  3118,CMSC631
David Van Horn,(Total: 20, Open: 3, Waitlist: 0),3:30pm - 4:45pm,CSI  3118,CMSC631
TuTh ,(Total: 25, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  3118,CMSC631
0101,(Total: 25, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  3120,CMSC660
Ramani Duraiswami,(Total: 25, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  3120,CMSC660
TuTh ,(Total: 20, Open: 15, Waitlist: 0),3:30pm - 4:45pm,CSI  3120,CMSC660
0101,(Total: 20, Open: 15, Waitlist: 0),5:00pm - 6:15pm,CSI  4122,CMSC663
Howard Elman,(Total: 20, Open: 15, Waitlist: 0),5:00pm - 6:15pm,CSI  4122,CMSC663
TuTh ,(Total: 25, Open: 8, Waitlist: 0),5:00pm - 6:15pm,CSI  4122,CMSC663
0101,(Total: 25, Open: 8, Waitlist: 0),2:00pm - 3:15pm,CSI  4122,CMSC666
Tobias von Petersdorff ,(Total: 25, Open: 8, Waitlist: 0),2:00pm - 3:15pm,CSI  4122,CMSC666
TuTh ,(Total: 40, Open: 9, Waitlist: 0),2:00pm - 3:15pm,CSI  4122,CMSC666
0101,(Total: 40, Open: 9, Waitlist: 0),9:30am - 10:45am,CSI  3120,CMSC701
Mihai Pop,(Total: 40, Open: 9, Waitlist: 0),9:30am - 10:45am,CSI  3120,CMSC701
TuTh ,(Total: 20, Open: 0, Waitlist: 0),9:30am - 10:45am,CSI  3120,CMSC701
0101,(Total: 20, Open: 0, Waitlist: 0),2:00pm - 3:30pm,AVW  3258,CMSC712
A.U. Shankar ,(Total: 20, Open: 0, Waitlist: 0),2:00pm - 3:30pm,AVW  3258,CMSC712
TuTh ,(Total: 40, Open: 0, Waitlist: 10),2:00pm - 3:30pm,AVW  3258,CMSC712
0101,(Total: 40, Open: 0, Waitlist: 10),2:00pm - 3:15pm,CSI  2120,CMSC723
Hal Daume,(Total: 40, Open: 0, Waitlist: 10),2:00pm - 3:15pm,CSI  2120,CMSC723
TuTh ,(Total: 32, Open: 0, Waitlist: 17),2:00pm - 3:15pm,CSI  2120,CMSC723
0101,(Total: 32, Open: 0, Waitlist: 17),11:00am - 12:15pm,CSI  3118,CMSC733
David Jacobs ,(Total: 32, Open: 0, Waitlist: 17),11:00am - 12:15pm,CSI  3118,CMSC733
TuTh ,(Total: 20, Open: 0, Waitlist: 0),11:00am - 12:15pm,CSI  3118,CMSC733
0101,(Total: 20, Open: 0, Waitlist: 0),9:30am - 10:45am,CSI  2118,CMSC737
Atif Memon ,(Total: 20, Open: 0, Waitlist: 0),9:30am - 10:45am,CSI  2118,CMSC737
TuTh ,(Total: 32, Open: 0, Waitlist: 15),9:30am - 10:45am,CSI  2118,CMSC737
0101,(Total: 32, Open: 0, Waitlist: 15),12:30pm - 1:45pm,CSI  2118,CMSC754
David Mount ,(Total: 32, Open: 0, Waitlist: 15),12:30pm - 1:45pm,CSI  2118,CMSC754
TuTh ,(Total: 40, Open: 10, Waitlist: 0),12:30pm - 1:45pm,CSI  2118,CMSC754
0101,(Total: 40, Open: 10, Waitlist: 0),11:00am - 12:50pm,CSI  2117,CMSC798
Jeffrey Foster ,(Total: 40, Open: 10, Waitlist: 0),11:00am - 12:50pm,CSI  2117,CMSC798
F ,(Total: 20, Open: 1, Waitlist: 0),11:00am - 12:50pm,CSI  2117,CMSC798
0101,(Total: 20, Open: 1, Waitlist: 0),11:00am - 12:15pm,AVW  3258,CMSC818
Peter Keleher ,(Total: 20, Open: 1, Waitlist: 0),11:00am - 12:15pm,AVW  3258,CMSC818
TuTh ,(Total: 145, Open: 145, Waitlist: 0),11:00am - 12:15pm,AVW  3258,CMSC818
0101,(Total: 145, Open: 145, Waitlist: 0),4:00pm - 5:00pm,CSI  1115,CMSC818
Instructor: TBA,(Total: 145, Open: 145, Waitlist: 0),4:00pm - 5:00pm,CSI  1115,CMSC818
MW ,(Total: 15, Open: 13, Waitlist: 0),4:00pm - 5:00pm,CSI  1115,CMSC818
0101,(Total: 15, Open: 13, Waitlist: 0),12:30pm - 1:45pm,JMP  1202,CMSC818
Tudor Dumitras,(Total: 15, Open: 13, Waitlist: 0),12:30pm - 1:45pm,JMP  1202,CMSC818
MW ,(Total: 25, Open: 2, Waitlist: 0),12:30pm - 1:45pm,JMP  1202,CMSC818
0101,(Total: 25, Open: 2, Waitlist: 0),2:00pm - 3:15pm,CSI  2118,CMSC828
Larry Davis ,(Total: 25, Open: 2, Waitlist: 0),2:00pm - 3:15pm,CSI  2118,CMSC828
TuTh ,(Total: 25, Open: 12, Waitlist: 0),2:00pm - 3:15pm,CSI  2118,CMSC828
0101,(Total: 25, Open: 12, Waitlist: 0),9:30am - 10:45am,CSI  3118,CMSC828
Venkatramanan Subrahmanian ,(Total: 25, Open: 12, Waitlist: 0),9:30am - 10:45am,CSI  3118,CMSC828
TuTh ,(Total: 20, Open: 3, Waitlist: 0),9:30am - 10:45am,CSI  3118,CMSC828
0101,(Total: 20, Open: 3, Waitlist: 0),3:30pm - 4:45pm,CSI  2118,CMSC858
Mohammad Hajiaghayi,(Total: 20, Open: 3, Waitlist: 0),3:30pm - 4:45pm,CSI  2118,CMSC858
TuTh ,,3:30pm - 4:45pm,CSI  2118,CMSC858
